City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Saint-Dizier,FR,2022-05-17 03:22:11,48.4167,5.0833,53.2,90,98,5.03
277,Porto Novo,BJ,2022-05-17 03:23:12,6.4965,2.6036,78.96,91,98,6.04
278,Esil,KZ,2022-05-17 03:23:12,51.9556,66.4042,60.58,56,43,13.09
279,Chopda,IN,2022-05-17 03:23:13,21.25,75.3,89.65,46,88,10.98
280,Ponta Do Sol,PT,2022-05-17 03:23:13,32.6667,-17.1,70.0,87,31,5.77
281,Dosso,NE,2022-05-17 03:23:14,13.049,3.1937,86.05,20,7,5.44
282,Rehoboth,NA,2022-05-17 03:23:15,-23.3167,17.0833,53.92,50,0,6.69
283,Harwich,GB,2022-05-17 03:23:15,51.9419,1.2844,56.25,87,100,1.01
284,Santa Isabel Do Rio Negro,BR,2022-05-17 03:23:15,-0.4139,-65.0192,73.51,99,98,1.61
285,El Estor,GT,2022-05-17 03:23:16,15.5333,-89.35,76.1,77,77,1.5
286,Chitrakonda,IN,2022-05-17 03:23:17,18.1167,82.0833,89.78,56,22,2.73
287,Henties Bay,NA,2022-05-17 03:23:17,-22.116,14.2845,69.03,47,5,5.61
288,Dombarovskiy,RU,2022-05-17 03:23:18,50.7587,59.5386,54.09,72,15,14.92
289,Cayenne,GF,2022-05-17 03:23:18,4.9333,-52.3333,79.09,1,75,11.01
290,Nome,US,2022-05-17 03:19:28,64.5011,-165.4064,43.16,64,0,10.36
291,Raga,SS,2022-05-17 03:22:21,8.4596,25.678,72.54,75,47,4.61
292,Dongsheng,CN,2022-05-17 03:23:19,39.8161,109.9776,69.62,9,2,24.56
